section,item,value,detail,confidence,source,note
COACHING,Head coach status,Patty Gasso - active,Coached all of 2026; ~32nd season (since 1995); age 64 (b. May 27 1962); 8 NCAA titles (ties Candrea for most),CONFIRMED,Wikipedia (Patty Gasso) + soonersports.com,"accessed 2026-06-22"
COACHING,Contract,Extension through 2028,"Sept 2024 extension, ~$2.05M/yr avg; no further extension found beyond 2028",CONFIRMED,Just Women's Sports + OU Daily,"accessed 2026-06-22"
COACHING,Retirement / succession,No announced retirement or successor,"Publicly intends to keep coaching (quote ~mid-2024); also named USA Softball WNT head coach (Feb 2025, LA28 target)",REPORTED,On3 + NCAA.com,"No formal succession plan = NOT_FOUND. accessed 2026-06-22"
COACHING,Heir apparent (internal),JT Gasso (son) - Associate HC / hitting,Most-cited internal heir; ~10 yrs on staff,ESTIMATED,soonersports.com staff directory,"Title CONFIRMED; 'heir' is inference. Do NOT confuse with DJ Gasso (other son, now Tulsa HC). accessed 2026-06-22"
COACHING,Pitching coach situation,Jennifer Rocha stepped away (health),"Pre-2026 absence for a health matter, no confirmed return; Karlie Keeney named interim pitching coach Feb 2026",CONFIRMED,soonersports.com news Feb 5 2026 + SI,"Open variable for 2027. accessed 2026-06-22"
RETURNING,Ella Parker,UTIL/RF - SENIOR 2027,"2026: .405, 22 HR, 63 RBI; First-Team All-American + First-Team All-SEC; returning, NOT in portal; one-year senior anchor",CONFIRMED,soonerstats.com + soonersports.com,"Gone after 2027. accessed 2026-06-22"
RETURNING,Kai Minor,CF - SO 2027 (elig thru 2029),"Freshman phenom: led D1 frosh ~.445 BA, 17 SB; NFCA 3rd-Team AA; #1 overall 2025 recruit",CONFIRMED,Wikipedia 2026 team + Softball America,"Core 2027-2030 foundation piece. accessed 2026-06-22"
RETURNING,Kendall Wells,C - SO 2027 (elig thru 2029),Starting catcher; NFCA Freshman of Year finalist,CONFIRMED,Wikipedia 2026 team,"accessed 2026-06-22"
RETURNING,Audrey Lowry,LHP - JR 2027,2026 ace: ~22-4 / ~2.7-2.8 ERA / ~102 IP; returns (rotation core intact despite Landry departure),CONFIRMED,soonerstats.com,"Minor line variance across sources. accessed 2026-06-22"
RETURNING,Miali Guachino,RHP - JR 2027,"2026: 15-3, 3.10 ERA, 112 K (transfer ex-Ole Miss); returns",CONFIRMED,soonerstats.com + Wikipedia,"Both top starters return. accessed 2026-06-22"
