topic,subject,finding,value,confidence,source,note
game3_pattern,2003 Rice vs Stanford,"G1 winner Rice lost G2, won G3 and title",Rice won (4-3 / 3-8 / 14-2),CONFIRMED,Wikipedia CWS finals table,Rice won G1; lost G2 3-8; won G3 14-2. First-ever best-of-3 finals + first Game 3.
game3_pattern,2009 LSU vs Texas,"G1 winner LSU lost G2, won G3 and title",LSU won (7-6 / 1-5 / 11-4),CONFIRMED,Wikipedia + LSUsports + Big12,"LSU won G1 7-6 (11 inn); lost G2 1-5; won G3 11-4."
game3_pattern,2014 Vanderbilt vs Virginia,"G1 winner Vanderbilt lost G2, won G3 and title",Vanderbilt won (9-8 / 2-7 / 3-2),CONFIRMED,Wikipedia CWS finals table,Vandy won G1 9-8; lost G2 2-7; won G3 3-2.
game3_pattern,2023 LSU vs Florida,"G1 winner LSU lost G2, won G3 and title",LSU won (4-3 / 4-24 / 18-4),CONFIRMED,Wikipedia + CBS + BleacherReport,"LSU won G1 4-3 (11 inn); lost G2 4-24 (record runs allowed); won G3 18-4."
game3_pattern_summary,2003-2025 best-of-3 era,"Teams that won G1, lost G2, then won G3 and the title","4 teams (2003 Rice, 2009 LSU, 2014 Vanderbilt, 2023 LSU)",CONFIRMED,Wikipedia CWS finals table (derived),"Exactly 4 of the 12 three-game series fit this pattern. In ALL 4, the G1 winner who dropped G2 still closed it out in G3."
game1_winner_record,2003-2025 best-of-3 era,"Series record of the Game-1 winner in finals that reached a Game 3",G1 winner went 4-8 (.333) in 12 three-game series,CONFIRMED,Wikipedia CWS finals table (derived),"COUNTERINTUITIVE: once a finals goes to G3, the team that won G1 is actually the underdog historically (4 wins, 8 losses). The G2 winner / momentum team took 8 of 12. Directly relevant to OU 2026 (won G1, lost G2)."
three_game_series_list,best-of-3 finals that went 3 games,"All MCWS finals (2003-2025) that needed a deciding Game 3",12 series,CONFIRMED,Wikipedia CWS finals table,"2003 Rice d Stanford; 2006 Oregon St d UNC; 2008 Fresno St d Georgia; 2009 LSU d Texas; 2014 Vanderbilt d Virginia; 2015 Virginia d Vanderbilt; 2016 Coastal Carolina d Arizona; 2018 Oregon St d Arkansas; 2019 Vanderbilt d Michigan; 2021 Mississippi St d Vanderbilt; 2023 LSU d Florida; 2024 Tennessee d Texas A&M."
g3_comeback_list,"G1 LOSER who won G2+G3 to take title","Teams that lost G1 then swept G2 and G3 to win the title",8 teams,CONFIRMED,Wikipedia CWS finals table (derived),"2006 Oregon St; 2008 Fresno St; 2015 Virginia; 2016 Coastal Carolina; 2018 Oregon St; 2019 Vanderbilt; 2021 Mississippi St; 2024 Tennessee. (The mirror image of the OU situation - these teams were in UNC's 2026 spot after evening the series.)"
sub500_conf_finalist,2007 Oregon State,"CWS finalist+champion with a sub-.500 conference record",10-14 Pac-10 (.417); unseeded,CONFIRMED,Wikipedia 2007 tournament + OSU athletics,"First team to win the CWS with a losing conference record; repeated as champion going 5-0 in Omaha."
sub500_conf_finalist,2015 Virginia,"CWS finalist+champion with a sub-.500 conference record",15-15 ACC (.500); unseeded,CONFIRMED,Wikipedia 2015 Virginia + ACC,"At exactly .500 in ACC (not below), 33-19 overall - fewest wins by a champion since 1968 USC. Reached Omaha without a winning conference record."
