fact,value,confidence,source,note
Head coach at Oklahoma since,1995 (took over 1994-95),CONFIRMED,soonersports.com + Wikipedia,"accessed 2026-06-22"
Record at Oklahoma (through 2026),"1,567-361-2 (.812)",CONFIRMED,Wikipedia (Patty Gasso) + multiple search corroboration,"OU-only figure corroborated across sources"
OU record entering 2025 season,"1,566-361-2 (.812)",CONFIRMED,"Wikipedia, OU, search",
Overall career record (through 2026),"1,619-371-2 (.813)",REPORTED,Wikipedia (Patty Gasso),"Auto-updated 2026 figure; not cross-confirmed vs a 2nd primary source = REPORTED"
Long Beach City College record (1990-1994),161-59-1,REPORTED,Wikipedia,"Pre-OU JUCO tenure"
National titles (count),8,CONFIRMED,"Wikipedia, OU, ESPN","Ties Mike Candrea (Arizona) for most by a D1 softball coach"
National title years,"2000, 2013, 2016, 2017, 2021, 2022, 2023, 2024",CONFIRMED,Wikipedia + ESPN,"2021-2024 = first-ever four-peat in NCAA D1 softball history"
WCWS appearances (count),17,CONFIRMED,ESPN (id 45288740) + USA Softball (2025),"Two independent 2025 sources"
WCWS appearances (conflicting figure),14,CONFLICTING,Wikipedia infobox,"Older/championship-focused figure; 17 is the defensible number"
NFCA National Coaching Staff of the Year,"7x (2000, 2013, 2016, 2017, 2022, 2023, 2024)",REPORTED,Wikipedia + NFCA,
Big 12 Coach of the Year,"15x (1996, 1999, 2000, 2009, 2012-2019, 2021-2023)",REPORTED,Wikipedia,
SEC Coach of the Year,2025,REPORTED,Wikipedia / search,"First SEC season"
NFCA Hall of Fame,Inducted 2012,CONFIRMED,Wikipedia + multiple,
Oklahoma Hall of Fame,Class of 2022,CONFIRMED,oklahomahof.com,
USA Softball Women's National Team head coach,Named Feb 3 2025 (LA28 Olympics target),CONFIRMED,NCAA.com + USA Softball + WBSC,
Contract / salary,"Sept 2024 extension through 2028; ~$1.9M (2024-25) stepping ~+$100K/yr, avg ~$2.05M/yr",REPORTED,AOL + OU Daily + Just Women's Sports,"Sources frame the same Sept-2024 extension slightly differently"
Retirement / succession talk,None surfaced,NOT_FOUND,web search (June 2026),"Instead added USA national-team job + extension through 2028"
Associate HC / hitting coach,JT Gasso (her son) - hitters/outfielders; ~$300K; ~10 yrs on staff,CONFIRMED,soonersports.com staff directory + Wikipedia,"DO NOT confuse with DJ Gasso (different son)"
Pitching coach,Jennifer (Jen) Rocha - associate HC / pitching; ~$300K,CONFIRMED,soonersports.com + SI/ESPN,"ESPN calls her Gasso's 'pitching guru'"
2026 staff change,"Rocha away (health) from season-opening Arizona trip; Karlie Keeney (2024 title pitcher) named interim pitching coach",REPORTED,soonersports.com news Feb 5 2026 + On3,
Staff departure to head coaching job,"DJ Gasso (her OTHER son; Arkansas associate HC) named Tulsa head coach June 4 2026",CONFIRMED,Whole Hog Sports + News9 + Wikipedia (DJ Gasso),"DJ was at Arkansas, NOT an OU staffer; ESPN feature loosely tags his quote"
2025 season,52-9 (17-7 SEC); no title (Texas won),REPORTED,Wikipedia,"First SEC season"
2026 season,~52-10 (20-4 SEC); missed WCWS - first miss since 2015,CONFLICTING,Wikipedia + NCAA.com,"Exact W-L varies slightly by source; WCWS miss confirmed"
ADVANTAGE pitching,"'Staff over ace' depth model since 2016; Rocha continuity. Gasso 2026: 'It's just getting the confidence down. I think we've got the stuff.'",REPORTED,Sports Illustrated (2026),
ADVANTAGE culture/faith,"Team mantra 'AO1 - Audience of One.' Gasso (~2010 turning point): 'You're not here to win games. You're here to open the door - here to win souls.'",REPORTED,Sports Spectrum + Baptist Messenger,"Faith-based culture heavily documented"
ADVANTAGE leadership evolution,"Gasso: 'The thing I probably changed the most is I started listening instead of talking... they yearn for that.'",REPORTED,ESPN GOAT feature (id 45288740),
ADVANTAGE staff continuity,"Family-anchored stable staff: son JT Gasso (hitters) + Jennifer Rocha (pitching).",CONFIRMED,soonersports.com staff,
ADVANTAGE recruiting,"Long Beach CA roots broke West Coast dominance; made OU a national destination. Candrea: 'Patty turned Oklahoma into a destination.' Embraces portal + NIL; 2026 class #1.",REPORTED,ESPN + On3,
