player,pos,class_2026,eligibility_remaining,role_2026,production_2026,draft_eligible_2026,draft_risk,return_likelihood_2027,development_upside,confidence,source
Deiten Lachance,C,Jr (JUCO),Sr year 2027 if unsigned,Everyday C / #3 hitter,.339/18 HR/68 RBI,Y,HIGH (Rds 3-6; best pure hitter),LOW-MED,HIGH,ESTIMATED-elig/REPORTED-draft,ESPN/MLB.com draft + roster
Dasan Harris,OF,Jr,Sr year 2027,Leadoff OF,.370/6 HR/18 SB,Y,MED (unranked; CWS riser; return leverage),MED-HIGH,HIGH,REPORTED,ESPN draft snippets + roster
Jaxon Willits,SS,Jr,Sr year 2027,Everyday SS,.307/52 RBI,Y,HIGH (#146 MLB Pipeline; likely signs),LOW-MED,HIGH,REPORTED,MLB Pipeline + roster
Camden Johnson,IF,Jr (Wichita St tf),Sr year 2027,Everyday IF / base-stealer,.301/9 HR/30 SB,Y,HIGH (#129 MLB Pipeline),LOW-MED,MED,REPORTED,MLB Pipeline + roster
Brendan Brock,C/OF,Jr,Sr year 2027,Power bat / 2nd C,.297/13 HR/54 RBI,Y,VERY HIGH (#88-109; Rds 2-3; top stock),LOW,HIGH,REPORTED,ESPN/BA/MLB draft boards
Trey Gambill,OF,Sr (JUCO),NONE,On-base leader,.291/.433 OBP/11 HR,Y,SENIOR SIGN,NONE (eligibility out),n/a,CONFIRMED,roster + eligibility
Dayton Tockey,1B,Sr (JUCO),NONE,Power/clutch (walk-off),.250/.563 SLG/8 HR,Y,SENIOR SIGN,NONE (eligibility out),n/a,CONFIRMED,roster + eligibility
Jason Walk,OF,Jr,Sr year 2027,CF,.282/postseason power,Y,MED (unranked; return leverage),MED-HIGH,MED,REPORTED,roster + draft snippets
Drew Dickerson,OF,So,2027 + 2028,Part-time OF,.281/.506 SLG (35 G),N (sophomore),LOW,HIGH,HIGH (2027 breakout candidate),ESTIMATED,roster
Nolan Stevens,OF/P,Jr (Miss St tf),Sr year 2027,Two-way/reduced role,.230/5 HR,Y,LOW (unranked),MED-HIGH,MED,ESTIMATED,roster
Alec Blair,OF,Fr,locked (2028 elig),Part-time OF (2-sport),.247/2 HR (30 G),N (freshman),NONE,HIGH,HIGH,CONFIRMED-class,roster
Kyle Branch,IF,So,2027 +,Glove-first IF,.214/Finals go-ahead hit,N (sophomore),LOW,HIGH,MED,ESTIMATED,roster
Cord Rager,LHP,Fr,locked (first elig 2028),POSTSEASON ACE (7-3),76 IP/94 K/.215 opp; 7 SHO IP vs Bama,N (freshman),NONE,VERY HIGH (near-certain),ELITE,CONFIRMED-class,ESPN/BA + roster
Xander Mercurius,RHP,Fr,locked (2028 elig),Starter,50.2 IP/56 K; beat Georgia in CWS,N (freshman),NONE,VERY HIGH,HIGH,CONFIRMED-class,roster + box scores
Nick Wesloski,RHP,Fr,locked (2028 elig),Swing/starter,34.2 IP/.194 opp; started Finals G3,N (freshman),NONE,VERY HIGH,HIGH,CONFIRMED-class,roster + box scores
LJ Mercurius,RHP,Jr,Sr year 2027,Closer/swing,77.2 IP/96 K/4 SV,Y,MED (~#172; Rds 5-8 may sign),MED,MED,REPORTED,MLB Pipeline + roster
Cameron Johnson,LHP,Jr,Sr year 2027,Starter,53.2 IP/.205 opp,Y,MED (~#166; Rds 5-8),MED,MED,REPORTED,consensus boards + roster
Michael Catalano,RHP,So,2027 +,Starter/depth,33.1 IP/7.02 ERA,N (sophomore),LOW,HIGH,MED,ESTIMATED,roster
Jackson Cleveland,LHP,Sr (5th yr),NONE,Closer,39.2 IP/9 SV,Y,SENIOR SIGN,NONE (eligibility out),n/a,CONFIRMED,roster + eligibility
Jason Bodin,LHP,Jr,Sr year 2027,Reliever (LHP),34.2 IP/.197 opp,Y,LOW (unranked),MED-HIGH,MED,ESTIMATED,roster
Kadyn Leon,RHP,So,2027 +,Reliever,26.1 IP/.169 opp,N (sophomore),LOW,HIGH,MED-HIGH,ESTIMATED,roster
Gavyn Jones,LHP,Jr,Sr year 2027,Reliever (LHP),26.2 IP/2.1 IP 4K Finals G1,Y,MED (unranked; ESPN mention),MED,MED,REPORTED,roster + draft snippet
Nate Smithburg,LHP,RS-Jr,Sr year 2027,Reliever,17.2 IP/3.06 ERA,Y,LOW (unranked),MED-HIGH,MED,ESTIMATED,roster
Mason Bixby,RHP,Jr (TCU tf),~2 yrs (thru 2028),Reliever,17.1 IP/91-95 mph,Y,LOW (unranked; command),MED-HIGH,MED-HIGH,REPORTED,Prospects Live + roster
Isaac Williams,RHP,Jr (UCF tf),Sr year 2027,Reliever,14.0 IP,Y,LOW (unranked),MED-HIGH,MED,ESTIMATED,roster
Reid Hensley,RHP,Sr,NONE (likely),Reliever,12.0 IP,Y,SENIOR SIGN,NONE,n/a,ESTIMATED,roster
