class_year,rank,ranking_service,notable_signees,geography,role_in_dynasty,confidence,source,note
2019,no overall class number found,Extra Inning Softball (per-player),"Kinzie Hansen (C, #6 EIS); Rylie Boone (#28 EIS); Macy McAdoo (#31 EIS); Mackenzie Donihoo; Alyssa Flores",mixed (CA/OK/TX),"Four-peat core: Hansen + Boone were 4x champions (2021-2024)",REPORTED,soonersports.com/news/2018/11/14/211780583,"Per-player EIS ranks confirmed; single overall class-rank NUMBER not located = NOT_FOUND. accessed 2026-06-21"
2020,1,FloSoftball (Oct-2017 way-too-early; EIS top-class corroboration),"Jayda Coleman (consensus #1 overall, The Colony TX); Tiare Jennings (#2 EIS, San Pedro CA); Nicole May (RHP, Pleasanton CA); Zaida Puni (Long Beach CA); Paige Knight (Owasso OK)",CA-heavy (3 of 5),"FOUR-PEAT ENGINE: Coleman (OU all-time runs leader), Jennings (WCWS all-time RBI leader), May all 4x champions",CONFIRMED,flosoftball.com/articles/6014788-top-2020-college-softball-recruiting-classes,"FloSoftball #1 ranking predates signing day; directionally confirmed. accessed 2026-06-21"
2021,3,Extra Inning Softball,"Jordy Bahl (#1 overall recruit, Softball America + EIS, Papillion NE); Alexx Waitman; Hannah Coor; Sophia Nugent; Emmy Guthrie; Turiya Coleman; Quince Lilio",mixed,"Bahl = 2023 WCWS Most Outstanding Player; central to 2021-2023 titles before transferring to Nebraska",CONFIRMED,soonersports.com/news/2020/11/10/softball-inks-seven-for-2021,"4 of top 10 nationally; all 7 in EIS top 25. accessed 2026-06-21"
2022,no overall class number found,Extra Inning Softball (per-player),"Kierston Deal (#1 in class EIS, Winston-Salem NC); Avery Hodge (#6, Richmond TX); Jocelyn Erickson (#10, Phoenix AZ); SJ Geurin (#20 / #7 pitcher, Leander TX)",mixed (NC/TX/AZ),"Depth class; Erickson later transferred OUT to Florida",REPORTED,si.com/college/oklahoma/softball/oklahoma-softball-signs-four-class-of-2022-players,"Landed #1 individual recruit (Deal); single overall class number NOT_FOUND. accessed 2026-06-21"
2023,2,Extra Inning Softball,"Ella Parker; Kasidi Pickering; Maya Bland; Nelly McEnroe-Marinas",mixed,"All 4 in EIS top 15; Parker became a star; Pickering later transferred to Texas Tech (2026)",CONFIRMED,extrainningsoftball.com (Sooners Sign Eight) + si.com Monumental Signing Class,"3 of 4 in EIS top 6. accessed 2026-06-21"
2024,1,Extra Inning Softball,"Audrey Lowry (#2); Sydney Barker (#4); Corri Hicks (#7); Gabbie Garcia (#8); Chaney Helton (#11); Kadey McKay (#14); Tia Milloy (#18); Riley Zache (#21)",CA/AZ/WA/IN/MI (most diverse),"Most geographically diverse class; all 8 in Extra Elite 100",CONFIRMED,extrainningsoftball.com/sooners-sign-eight-in-leading-extra-inning-softball-recruiting-classes/,"Published Nov 12 2023. accessed 2026-06-21"
2025,1,Softball America (also On3 #1),"Kai Minor (OF, #1 overall, Irvine CA); Alyssa Parker (P, #2, OK); Lexi McDonald (IF, #3, St. Joseph MO); Kendall Wells (C, #5, Bogart GA); Sophia Bordi (P, NJ); Berkley Zache (P, Niles MI)",CA + national spread,"First SEC-era class; landed #1 overall recruit (Minor)",CONFIRMED,soonersports.com/news/2024/11/13/oklahoma-softball-signs-six-for-2025,"#1 attributed to both Softball America and On3 (no rank conflict). accessed 2026-06-21"
2026,1,On3 (Softball America / EIS per-player support),"Malaya Majam-Finch (#1 in class EIS, Fullerton CA); Jerrell 'Ori' Mailo (5-star #4 On3, HI); Ella Kate 'EK' Smith (#3 MaxPreps/EIS, TX); Kiele Ho-Ching (CA); Keegan Baker (OK); Payton Westra (AZ)",CA (2) + HI/AZ/TX/OK,"3 five-stars + 3 four-stars; signed during back-to-back missed-title seasons",CONFIRMED,si.com/college/oklahoma/softball/oklahoma-signs-six-in-top-rated-2026-recruiting-class-01k9x813ya41,"Published Nov 13 2025. accessed 2026-06-22"
GEOGRAPHY,California is headline pipeline,bottom-up roster tally (no single quantified source),"CA recurring top names: Jennings (2020), Minor (2025 #1), Majam-Finch + Ho-Ching (2026)",CA primary; TX/AZ/OK secondary; HI emerging,"Gasso's Long Beach CA roots + travel-ball ties drive West Coast pull; Candrea: 'Patty turned Oklahoma into a destination'",ESTIMATED,compiled from per-class hometowns across soonersports.com + EIS + SI releases,"No dedicated softball article quantifying OU's all-time recruit-by-state distribution = that aggregate is NOT_FOUND; thesis is well-supported but [REPORTED]. accessed 2026-06-22"
FOUR_PEAT_CLASSES,2019 + 2020 + 2021,OU release attribution,"4x champions (2021-2024): Rylie Boone, Jayda Coleman, Kinzie Hansen, Tiare Jennings, Nicole May; + Jordy Bahl (2021 class) as dominant arm",2019-2020 = structural core; 2021 = ace,"2020 class (FloSoftball #1) was the engine; Bahl the pitching addition",CONFIRMED,soonersports.com/news/2024/6/6/softball-four-peat-complete-sooners-claim-eighth-national-title,"accessed 2026-06-22"
