system,scope,ou_value,ou_rank,unc_value,unc_rank,as_of,opponent_adjusted,confidence,source,note
NCAA RPI,official RPI,NF,24,NF,5,selection day (2026-05-25),partial,REPORTED,NCAA.com bracket release,"OU was an unseeded at-large (selection-day RPI ~24); UNC was the No. 5 national seed. Official NCAA RPI value not published per-team."
WarrenNolan RPI,recomputed RPI (live),.6069,9,NF,2,current (2026-06-21 post-G2),partial,CONFIRMED,WarrenNolan.com rpi-live,"Live page now shows OU #9 / UNC #2 (UNC SOS rank 9). OU figure inflated vs selection-day #24 by the postseason run."
WarrenNolan ELO,Elo rating,1708.16,6,1768.16,2,current (2026-06-21 post-G2),yes,CONFIRMED,WarrenNolan.com elo,"Post-G2 snapshot: Georgia 1781.59 #1, UNC 1768.16 #2, Georgia Tech 1742.41 #3, UCLA 1720.42 #4, Texas 1710.79 #5, OU 1708.16 #6. Pre-finals frozen values were UNC 1753.58 #2 / OU 1722.75 #4. UNC ranks ABOVE OU."
Boyd's World pseudo-RPI,pseudo-RPI,.588,18,NF,NF,~2026-06-06 (pre-tourney),partial,REPORTED,Boyd's World,"Frozen pre-tournament baseline; does not reflect the run. UNC pseudo-RPI value not captured."
Boyd's World ISR,iterative strength rating,NF,NF,NF,NF,~2026-06-06 (pre-tourney),yes,NOT_FOUND,Boyd's World,"Value blocked to scrapers; pre-tournament snapshot. Neither team's ISR captured."
Massey Ratings,composite power rating,NF,NF,NF,NF,current,yes,NOT_AVAILABLE,Massey Ratings,"BLOCKED: masseyratings.com returns HTTP 403 to fetch tools; exact OU/UNC values need manual browser lookup."
KPI / NET-equivalent,results-based metric,NF,NF,NF,NF,current,partial,NOT_FOUND,n/a,"No published KPI/NET-equivalent for D1 baseball located; baseball has no NET. NOT_FOUND."
D1Baseball Top 25,human poll (final regular season),NF,UR,NF,4,2026-05-26,no,CONFIRMED,D1Baseball via NCAA.com,"Final pre-tournament poll: UNC #4 (45-11), OU unranked. Top 5: UCLA, Georgia Tech, Georgia, UNC, Auburn. A Wikipedia variant lists a different D1B top-5; see contradictions_log. Polls pause during the tournament until a final post-CWS poll."
Baseball America Top 25,human poll (final regular season),NF,19,NF,7,2026-05-18,no,CONFIRMED,Baseball America via Wikipedia rankings aggregator,"Final regular-season BA poll: UNC #7, OU #19. Top 5: UCLA, Georgia Tech, UNC, Georgia, Texas."
USA Today Coaches Poll,human poll (ABCA/USA Today),NF,UR,NF,4,2026-05-25,no,CONFIRMED,USA Today Coaches via Wikipedia rankings aggregator,"Final regular-season Coaches poll: UNC #4, OU unranked. Top 5: UCLA, Georgia Tech, UNC, Texas, Auburn."
NCBWA Top 30,human poll,NF,UR,NF,3,2026-05-18,no,CONFIRMED,NCBWA via Wikipedia rankings aggregator,"Final regular-season NCBWA poll: UNC #3, OU unranked. Top 5: UCLA, Georgia Tech, UNC, Georgia, Texas."
Perfect Game Top 25,human poll,NF,UR,NF,2,2026-05-18,no,CONFIRMED,Perfect Game via Wikipedia rankings aggregator,"Final regular-season PG poll: UNC #2, OU unranked. Top 5: UCLA, UNC, Georgia Tech, Georgia, Texas."
ESPN,ESPN poll / power index,NF,NF,NF,NF,current,no,NOT_FOUND,ESPN,"ESPN re-publishes the D1Baseball/Coaches polls rather than an independent baseball power index; no standalone ESPN baseball rating located. See D1Baseball/Coaches rows."
WarrenNolan SOS,strength of schedule,.5951,2,NF,9,current (2026-06-21),n/a,CONFIRMED,WarrenNolan.com rpi-live,"OU hardest-schedule context (SOS #2); UNC SOS rank 9. UNC SOS value not captured."
